employer_id,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,source_hh_employer_url,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,inn,inn_source,rusprofile_url
10123341,updatework,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128510506,jobs,hh_api,https://hh.ru/employer/10123341,0,0,0,0,0,0,0,,,
10128283,Трансновалоджик,https://hh.skillaz.ru,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,https://hh.ru/vacancy/127949674,jobs,hh_api,https://hh.ru/employer/10128283,0,0,0,0,0,0,1,7717043113,rusprofile,https://www.rusprofile.ru/id/3687970
10228223,Айтиконтакт,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128730896,jobs,hh_api,https://hh.ru/employer/10228223,0,0,0,0,0,0,0,4800011513,rusprofile,https://www.rusprofile.ru/id/1234800010598
1025275,Сеть магазинов цифровой и бытовой техники DNS,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/126345287,jobs,hh_api,https://hh.ru/employer/1025275,0,0,0,0,0,0,0,,,
10280369,Ерошко Владимир Владиславович,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128560162,jobs,hh_api,https://hh.ru/employer/10280369,0,0,0,0,0,0,0,0278935342,rusprofile,https://www.rusprofile.ru/id/11221840
1030733,"ВЕРНЫЙ, Сеть магазинов",https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/127704255,jobs,hh_api,https://hh.ru/employer/1030733,0,0,0,0,0,0,0,,,
10337522,Фьюче Текнолоджи Солюшинс,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/127597426,jobs,hh_api,https://hh.ru/employer/10337522,0,0,0,0,0,0,0,7736207543,rusprofile,https://www.rusprofile.ru/id/189505
10351,IKON TYRES,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128546156,jobs,hh_api,https://hh.ru/employer/10351,0,0,0,0,0,0,0,,,
104085,Многопрофильная клиника Скандинавия. Клиника репродукции Скандинавия АВА-ПЕТЕР,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128872636,jobs,hh_api,https://hh.ru/employer/104085,0,0,0,0,0,0,0,,,
10601521,Сапортнск,https://hh.skillaz.ru,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",https://hh.ru/vacancy/94647818,jobs,hh_api,https://hh.ru/employer/10601521,0,0,0,0,0,0,1,4253042619,rusprofile,https://www.rusprofile.ru/id/11513411
