employer_id,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,source_hh_employer_url,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,inn,inn_source
104085,Многопрофильная клиника Скандинавия. Клиника репродукции Скандинавия АВА-ПЕТЕР,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128872636,jobs,hh_api,https://hh.ru/employer/104085,0,0,0,0,0,0,0,,
11169361,PS. TRY. BUY.,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128870469,jobs,hh_api,https://hh.ru/employer/11169361,0,0,0,0,0,0,0,,
1604297,Башнефть-Розница,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/124803338,jobs,hh_api,https://hh.ru/employer/1604297,0,0,0,0,0,0,0,1831090630,rusprofile
1651715,Quick Resto,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128141429,jobs,hh_api,https://hh.ru/employer/1651715,0,0,0,0,0,0,0,,
2417819,Микрокредитная Компания Байбол,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/127069745,jobs,hh_api,https://hh.ru/employer/2417819,0,0,0,0,0,0,0,7726588547,rusprofile
3257770,Vagimagia,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128007045,jobs,hh_api,https://hh.ru/employer/3257770,0,0,0,0,0,0,0,,
58320,Россельхозбанк,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/123432075,jobs,hh_api,https://hh.ru/employer/58320,0,0,0,0,0,0,0,7725114488,rusprofile
674883,OQ,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128871888,jobs,hh_api,https://hh.ru/employer/674883,0,0,0,0,0,0,0,,
877494,БоноДоно,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/127950579,jobs,hh_api,https://hh.ru/employer/877494,0,0,0,0,0,0,0,7710035755,rusprofile
8977702,Страховой Дом ДБК,https://hh.skillaz.ru,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,https://hh.ru/vacancy/128008876,jobs,hh_api,https://hh.ru/employer/8977702,0,0,0,0,0,0,0,,
9451419,HI-TECH.TOOLS,https://hh.skillaz.ru,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",https://hh.ru/vacancy/128708397,jobs,hh_api,https://hh.ru/employer/9451419,0,0,0,0,0,0,1,,
